,Frequency (MHz),Height (km),suppression (dB),cone_width (deg),err_upper (deg),err_lower (deg)
0,50,0.01,-10.0,177.18366080294206,2.9540244952386274e-06,3.452150707516921e-06
1,50,0.01,-10.50314465408805,177.1835422381222,2.476753249425201e-05,2.898753390923048e-05
2,50,0.01,-11.0062893081761,177.18352673419278,2.689389293664135e-05,3.142517115861665e-05
3,50,0.01,-11.50943396226415,177.18341016608895,4.751046924411639e-05,5.550052341618539e-05
4,50,0.01,-12.0125786163522,177.18298896370854,0.0001238866296660035,0.00014482893737977065
5,50,0.01,-12.515723270440251,177.18220284606159,0.0002680502232124127,0.00031355701008806136
6,50,0.01,-13.018867924528301,177.1810368275885,0.00048194617608032786,0.0005639038797653484
7,50,0.01,-13.522012578616351,177.1792947529188,0.0007982468268039611,0.0009338740666464673
8,50,0.01,-14.025157232704402,177.17702778223824,0.001203761836677586,0.0014077585420011474
9,50,0.01,-14.528301886792452,177.17452526244776,0.0016453966172207402,0.0019234134747989629
10,50,0.01,-15.031446540880502,177.17100799300545,0.002273250311418451,0.002657026794935291
11,50,0.01,-15.534591194968552,177.16471123772513,0.0034212137770452955,0.004000112678596679
12,50,0.01,-16.037735849056602,177.15614256184003,0.004977961699751177,0.005821077729507351
13,50,0.01,-16.540880503144656,177.14847196362012,0.006307531917457254,0.007371706818133816
14,50,0.01,-17.044025157232703,177.14148026262922,0.007470920604731646,0.008724870510036453
15,50,0.01,-17.547169811320757,177.13249672083472,0.008999687700878667,0.010505677763831045
16,50,0.01,-18.050314465408803,177.1197708268504,0.011209927433384337,0.013083732312566099
17,50,0.01,-18.553459119496857,177.1023788808683,0.014249451135242452,0.016630494800637052
18,50,0.01,-19.056603773584904,177.0841549131635,0.01737215776086032,0.02026967278473535
19,50,0.01,-19.559748427672957,177.07048076089626,0.019569271383033993,0.02281904844312521
20,50,0.01,-20.062893081761004,177.0574000882152,0.0216300925741848,0.025206953498667417
21,50,0.01,-20.566037735849058,177.03922228460578,0.024616582062066072,0.028677607955614803
22,50,0.01,-21.069182389937104,177.019092487141,0.02788782495483133,0.03247632278990409
23,50,0.01,-21.572327044025158,177.00158018884648,0.03057469403148616,0.03558366015377601
24,50,0.01,-22.07547169811321,176.9839551064912,0.03325024980736657,0.03867547835389473
25,50,0.01,-22.57861635220126,176.96304067733516,0.03652893992892814,0.04247319452537113
26,50,0.01,-23.08176100628931,176.94252930333403,0.03967429075009932,0.04611062027152002
27,50,0.01,-23.58490566037736,176.92606278692213,0.04199270991082926,0.04877414762995613
28,50,0.01,-24.08805031446541,176.91005548922504,0.04418354011858128,0.051285257495464975
29,50,0.01,-24.59119496855346,176.89040219133497,0.047005346567146944,0.054532176751138195
30,50,0.01,-25.09433962264151,176.86731412617485,0.05041060939296926,0.058458663158120316
31,50,0.01,-25.59748427672956,176.84302828246098,0.05399149527420377,0.06258756235956753
32,50,0.01,-26.10062893081761,176.82298237922421,0.056772719846634345,0.06577896909848846
33,50,0.01,-26.60377358490566,176.81041637959376,0.058212119458602274,0.06740204140325545
34,50,0.01,-27.10691823899371,176.79984537899026,0.0593184387494432,0.06863761247683442
35,50,0.01,-27.61006289308176,176.7863242148017,0.06094198540546358,0.07047684876380345
36,50,0.01,-28.11320754716981,176.77067099712562,0.06289905819414798,0.07270235025106331
37,50,0.01,-28.61635220125786,176.75327345434133,0.06510825485972305,0.07521811108114207
38,50,0.01,-29.11949685534591,176.73125100090297,0.06808027696703789,0.07862060257107828
39,50,0.01,-29.62264150943396,176.7084469120417,0.07119540605742714,0.08219056877840103
40,50,0.01,-30.12578616352201,176.70569281856,0.07104936216543933,0.08197328089400457
41,50,0.01,-30.628930817610062,176.7258828570231,0.06726695492500312,0.0775406943510859
42,50,0.01,-31.132075471698112,176.73271205624354,0.06568007837492473,0.07565960909980163
43,50,0.01,-31.635220125786162,176.7105597904485,0.06863923322859478,0.07904442970644254
44,50,0.01,-32.13836477987421,176.68894079854604,0.0715124772988247,0.08232954711411367
45,50,0.01,-32.64150943396226,176.68715869484086,0.07134456045335469,0.08209779337985879
46,50,0.01,-33.144654088050316,176.68817586205898,0.07077291248074857,0.08140132037820536
47,50,0.01,-33.64779874213836,176.67890656652554,0.07177468153415134,0.08252407918925542
48,50,0.01,-34.15094339622642,176.66108975734014,0.07408513783531134,0.08516008887059456
49,50,0.01,-34.65408805031447,176.63943736716334,0.07698788772430021,0.08848140442060526
50,50,0.01,-35.15723270440252,176.62181068397058,0.07926749489186591,0.09108159453401754
51,50,0.01,-35.660377358490564,176.61053445520048,0.08057055705873495,0.09255223196129236
52,50,0.01,-36.16352201257862,176.5965524651973,0.08227804591811605,0.09448967324013324
53,50,0.01,-36.66666666666667,176.57358349235457,0.08532670813892196,0.09797496169684905
54,50,0.01,-37.16981132075472,176.54255661980267,0.08955879913406761,0.1028243739154675
55,50,0.01,-37.672955974842765,176.5079661733208,0.09430619765808501,0.10826705826966077
56,50,0.01,-38.17610062893082,176.47953794488728,0.0981562242905909,0.11267603290849593
57,50,0.01,-38.67924528301887,176.46044250667225,0.10064096008358092,0.11551173154384742
58,50,0.01,-39.18238993710692,176.44110944066747,0.10311656920816858,0.11833299581417123
59,50,0.01,-39.685534591194966,176.41654678837264,0.10630107048578452,0.12196613215741081
60,50,0.01,-40.18867924528302,176.39116013648714,0.1096088104288242,0.12574152168832597
61,50,0.01,-40.69182389937107,176.3655382863534,0.1129741203345418,0.12958531867514012
62,50,0.01,-41.19496855345912,176.33308000088206,0.11730453533843388,0.13453811909030833
63,50,0.01,-41.698113207547166,176.29475110692792,0.12243536920243514,0.14040806058005728
64,50,0.01,-42.20125786163522,176.2642232539952,0.12642033857164847,0.14495716401461323
65,50,0.01,-42.704402515723274,176.2426883308044,0.12910097198334824,0.14800423499937665
66,50,0.01,-43.20754716981132,176.21135518406302,0.13314627469725338,0.15261773303481618
67,50,0.01,-43.710691823899374,176.1675758357783,0.13891475587323043,0.1592082055539379
68,50,0.01,-44.21383647798742,176.13408979528194,0.1431779061402949,0.16406407091173492
69,50,0.01,-44.716981132075475,176.1160035432582,0.1452336790725326,0.16638034923064993
70,50,0.01,-45.22012578616352,176.09134130538695,0.148200036042482,0.16974133872946595
71,50,0.01,-45.723270440251575,176.0567128966841,0.15252562489405364,0.17465981129222996
72,50,0.01,-46.22641509433962,176.03504799592153,0.15495095601309572,0.17738820348867534
73,50,0.01,-46.729559748427675,176.0316465622487,0.15477252712662448,0.1771222541580073
74,50,0.01,-47.23270440251572,176.02787345995802,0.15466930427038506,0.17694482718752624
75,50,0.01,-47.735849056603776,176.0187223511491,0.15534519405338187,0.17766451963052532
76,50,0.01,-48.23899371069182,176.01594530415827,0.15514821573418658,0.17738369218827188
77,50,0.01,-48.742138364779876,176.01884868392398,0.1542015286600531,0.17624620176309236
78,50,0.01,-49.24528301886792,176.01253407529214,0.15460010406664537,0.17665861925360105
79,50,0.01,-49.74842767295598,175.9925801700597,0.15693786174043112,0.17930062164842298
80,50,0.01,-50.25157232704402,175.96622513771152,0.16018046657009677,0.18298249551403956
81,50,0.01,-50.75471698113208,175.935622722061,0.16401402795952436,0.18734263821781383
82,50,0.01,-51.257861635220124,175.89712542850987,0.16893393325710804,0.19294849336148445
83,50,0.01,-51.76100628930818,175.85541064100332,0.17428802575727786,0.19905142101342221
84,50,0.01,-52.264150943396224,175.82421678709164,0.178181461394729,0.20347818066142054
85,50,0.01,-52.76729559748428,175.80586865435083,0.18030458149738138,0.2058746573545136
86,50,0.01,-53.270440251572325,175.7903084664769,0.1820527504143854,0.20784199987937768
87,50,0.01,-53.77358490566038,175.76920752148956,0.18455814805815862,0.2106771658291109
88,50,0.01,-54.276729559748425,175.73679611207243,0.18858256432781673,0.21525065230127893
89,50,0.01,-54.77987421383648,175.6953970807871,0.19380382772229154,0.22119278310267987
90,50,0.01,-55.283018867924525,175.6552020164389,0.1988492516502447,0.2269323132179295
91,50,0.01,-55.78616352201258,175.62556938704188,0.20240503460760806,0.23096023074322147
92,50,0.01,-56.289308176100626,175.61373178330211,0.20341317345216225,0.23205736333062532
93,50,0.01,-56.79245283018868,175.611708770568,0.20302865060500608,0.2315535274138938
94,50,0.01,-57.295597484276726,175.59964226814074,0.20407989496095524,0.23270119074433637
95,50,0.01,-57.79874213836478,175.57741011195768,0.2065442712629988,0.23547065441528048
96,50,0.01,-58.301886792452834,175.56127258625023,0.2081000416635277,0.23719157779359534
97,50,0.01,-58.80503144654088,175.5575534101193,0.20796277047830358,0.23697258076680328
98,50,0.01,-59.308176100628934,175.5625491446193,0.20680906666271426,0.23560538001362374
99,50,0.01,-59.81132075471698,175.55743510663385,0.20713171607096115,0.23593920437599536
100,50,0.01,-60.314465408805034,175.51503858385905,0.21239667370019788,0.2419225612053708
101,50,0.01,-60.81761006289308,175.44837713489352,0.22084816884097336,0.2515454700219095
102,50,0.01,-61.320754716981135,175.4012724485526,0.22673647014454446,0.2582412908175229
103,50,0.01,-61.82389937106918,175.38008104880439,0.22920991572908633,0.2610356042149533
104,50,0.01,-62.327044025157235,175.361980536381,0.23122756692242774,0.2633043646330293
105,50,0.01,-62.83018867924528,175.34051457449172,0.233652184177771,0.2660344680856781
106,50,0.01,-63.333333333333336,175.32095734407352,0.23584218972482063,0.26849820187555906
107,50,0.01,-63.83647798742138,175.30410709784388,0.23765639027288898,0.270530684288417
108,50,0.01,-64.33962264150944,175.28808719402167,0.23925657095634278,0.27230828299406085
109,50,0.01,-64.84276729559748,175.27626518300193,0.24023367201255041,0.2733670828650929
110,50,0.01,-65.34591194968553,175.2743784445203,0.23993698954626552,0.2729740883469276
111,50,0.01,-65.84905660377359,175.2776492239755,0.23900898485862854,0.2718645910611599
112,50,0.01,-66.35220125786164,175.2749934473346,0.23886014645296427,0.271645117269685
113,50,0.01,-66.85534591194968,175.2564572037072,0.24078941429328893,0.2737984520691157
114,50,0.01,-67.35849056603774,175.21404283725744,0.24585928346644437,0.2795393553679446
115,50,0.01,-67.86163522012578,175.15764408510665,0.25279467035983316,0.2874138762572329
116,50,0.01,-68.36477987421384,175.10726713999952,0.25900520543797256,0.29446705384711436
117,50,0.01,-68.86792452830188,175.06595437183083,0.2640648181614722,0.3002096065948763
118,50,0.01,-69.37106918238993,175.02816576294492,0.26863552536303814,0.3053911531200697
119,50,0.01,-69.87421383647799,175.00640758000952,0.27104832719254546,0.30810277102915506
120,50,0.01,-70.37735849056604,175.01909053211298,0.2689047566270233,0.3056069317782715
121,50,0.01,-70.88050314465409,175.04612197371551,0.26489391225260306,0.3009800487648704
122,50,0.01,-71.38364779874215,175.0519217656823,0.2636865127758199,0.29955667857174717
123,50,0.01,-71.88679245283018,175.03359148458406,0.2656157090702891,0.3017126138343258
124,50,0.01,-72.38993710691824,175.00307538244763,0.2690835458258505,0.30561980225434127
125,50,0.01,-72.89308176100629,174.96295398491816,0.27376861965254307,0.3109128859396719
126,50,0.01,-73.39622641509433,174.91289867490096,0.27975062460461686,0.31768652168392464
127,50,0.01,-73.8993710691824,174.867577234892,0.2851539620432675,0.3238034987433025
128,50,0.01,-74.40251572327044,174.84644977189572,0.2874783575576032,0.3264135873903058
129,50,0.01,-74.90566037735849,174.8435720099086,0.2874678590301585,0.3263629769733427
130,50,0.01,-75.40880503144655,174.84448825052516,0.2869464012492813,0.3257275019643373
131,50,0.01,-75.9119496855346,174.86045109056786,0.28447886979435566,0.3228722611603132
132,50,0.01,-76.41509433962264,174.90509619722545,0.2783600870748728,0.3158581609324358
133,50,0.01,-76.91823899371069,174.93531947311482,0.2741029414856939,0.31096714837238437
134,50,0.01,-77.42138364779875,174.89947321028623,0.2782349876228807,0.3156294178105554
135,50,0.01,-77.9245283018868,174.83436454943325,0.28606239681781176,0.32449774069255
136,50,0.01,-78.42767295597484,174.80381666923438,0.28950609312394704,0.32837454155699675
137,50,0.01,-78.93081761006289,174.78909675225378,0.2909714937351282,0.33000177240106154
138,50,0.01,-79.43396226415095,174.7461415594287,0.29604507860244667,0.3357402274030221
139,50,0.01,-79.937106918239,174.69085771679525,0.3026882512554323,0.34326649461289094
140,50,0.01,-80.44025157232704,174.65843155359977,0.3064257129312864,0.3474835075084002
141,50,0.01,-80.94339622641509,174.65029238441687,0.30707275910859266,0.3481806010188677
142,50,0.01,-81.44654088050315,174.65389674392233,0.30621858627176834,0.3471671284942772
143,50,0.01,-81.9496855345912,174.65343827920054,0.3058665689915472,0.3467240798919704
144,50,0.01,-82.45283018867924,174.63477793060272,0.3078003849370532,0.3488814411254282
145,50,0.01,-82.95597484276729,174.59907574805882,0.3118819311444838,0.35348289146858747
146,50,0.01,-83.45911949685535,174.5551690703795,0.3170091675933122,0.35927553619254127
147,50,0.01,-83.9622641509434,174.52525015519117,0.32037066201019115,0.36305848825475096
148,50,0.01,-84.46540880503144,174.52661584846527,0.31978368366793575,0.3623475319415377
149,50,0.01,-84.96855345911949,174.5257554676677,0.31950200955316177,0.3619865730515244
150,50,0.01,-85.47169811320755,174.4866400923953,0.32406255470510814,0.36713817858853304
151,50,0.01,-85.9748427672956,174.44122768332502,0.3294059114622314,0.3731794962275501
152,50,0.01,-86.47798742138365,174.43101468449865,0.3302873408743494,0.37414052000971765
153,50,0.01,-86.98113207547169,174.43481905397624,0.3293924482953514,0.37307910169175784
154,50,0.01,-87.48427672955975,174.421970177192,0.33058673070223676,0.3743941445054588
155,50,0.01,-87.9874213836478,174.40501635244954,0.3323087856000484,0.37631086704047334
156,50,0.01,-88.49056603773585,174.39920881592028,0.33266514232394684,0.37667748703461257
157,50,0.01,-88.99371069182389,174.37689839639168,0.33509372377125146,0.37940148614944746
158,50,0.01,-89.49685534591195,174.31555890254197,0.34237297194991356,0.3876384306922205
159,50,0.01,-90.0,174.26801414587564,0.3478936965842365,0.39387212462989396
